source_file,line_number,broken_link,link_type,link_text,relative_path,new_link,status,reason
.\method.md,0,/docs/troubleshooting.md,markdown,Troubleshooting Guide,method.md,temp_reorg/docs/robotics/troubleshooting.md,fixed,
.\method.md,0,/docs/faq.md,markdown,FAQs,method.md,temp_reorg/docs/robotics/faq.md,fixed,
.\README.md,0,docs/machine_learning/data_acquisition.md,markdown,Data Acquisition,README.md,temp_reorg/docs/machine_learning/workflow/data_acquisition.md,fixed,
.\README.md,0,docs/machine_learning/preprocessing.md,markdown,Preprocessing,README.md,temp_reorg/docs/machine_learning/workflow/preprocessing.md,fixed,
.\README.md,0,docs/machine_learning/build_train_model.md,markdown,Model Building & Training,README.md,temp_reorg/docs/machine_learning/workflow/build_train_model.md,fixed,
.\README.md,0,docs/machine_learning/evaluate_performance.md,markdown,Evaluation & Deployment,README.md,temp_reorg/docs/machine_learning/workflow/evaluate_performance.md,fixed,
.\docs\ai\README.md,0,./guides/performance_tuning.md,markdown,Performance Tuning Guide,docs\ai\README.md,temp_reorg/docs/ai/guides/performance_tuning.md,fixed,
.\docs\ai\README.md,0,./security/deployment.md,markdown,Secure Deployment,docs\ai\README.md,temp_reorg/docs/machine_learning/workflow/deployment.md,fixed,
.\docs\ai\README.md,0,./security/access_control.md,markdown,Access Control,docs\ai\README.md,temp_reorg/docs/robotics/access_control.md,fixed,
.\docs\ai\audio\multi_modal_audio_recognition.md,0,../../api/audio_recognition_api.md,markdown,API Documentation,docs\ai\audio\multi_modal_audio_recognition.md,temp_reorg/docs/api/audio_recognition_api.md,fixed,
.\docs\ai\emotional_intelligence\README.md,0,../../examples/emotional_intelligence/demo_emotional_ai.py#L15-L60,relative,View Example Usage,docs\ai\emotional_intelligence\README.md,temp_reorg/src/ai/demo_emotional_ai.py,fixed,
.\docs\ai\emotional_intelligence\README.md,0,../../examples/emotional_intelligence/demo_emotional_ai.py#L62-L77,relative,Example Implementation,docs\ai\emotional_intelligence\README.md,temp_reorg/src/ai/demo_emotional_ai.py,fixed,
.\docs\ai\emotional_intelligence\README.md,0,../../examples/emotional_intelligence/demo_emotional_ai.py#L79-L95,relative,Example Implementation,docs\ai\emotional_intelligence\README.md,temp_reorg/src/ai/demo_emotional_ai.py,fixed,
.\docs\ai\models\bitnet_b158_2b4t.md,0,../../machine_learning/workflow/deployment.md,markdown,Model Deployment,docs\ai\models\bitnet_b158_2b4t.md,temp_reorg/docs/machine_learning/workflow/deployment.md,fixed,
.\docs\ai\multidisciplinary\biology.md,0,../../../../src/multidisciplinary_ai/biology.py,code,src/multidisciplinary_ai/biology.py,docs\ai\multidisciplinary\biology.md,temp_reorg/docs/src/multidisciplinary_ai/biology.py,fixed,
.\docs\ai\multidisciplinary\biology.md,0,../ai/guides/quantum_circuit_optimization.md,markdown,Biological AI Guide,docs\ai\multidisciplinary\biology.md,temp_reorg/docs/ai/guides/quantum_circuit_optimization.md,fixed,
.\docs\ai\multidisciplinary\cosmology.md,0,../../../../src/multidisciplinary_ai/cosmology.py,code,src/multidisciplinary_ai/cosmology.py,docs\ai\multidisciplinary\cosmology.md,temp_reorg/docs/src/multidisciplinary_ai/cosmology.py,fixed,
.\docs\ai\multidisciplinary\cosmology.md,0,../../../../src/multidisciplinary_ai/cosmology/cosmology_model.py,code,Cosmology Model,docs\ai\multidisciplinary\cosmology.md,temp_reorg/docs/src/multidisciplinary_ai/cosmology/cosmology_model.py,fixed,
.\docs\ai\multidisciplinary\philosophy.md,0,../../../../src/multidisciplinary_ai/philosophy.py,code,src/multidisciplinary_ai/philosophy.py,docs\ai\multidisciplinary\philosophy.md,temp_reorg/docs/src/multidisciplinary_ai/philosophy.py,fixed,
.\docs\ai\multidisciplinary\psychology.md,0,../../../../src/multidisciplinary_ai/psychology.py,code,src/multidisciplinary_ai/psychology.py,docs\ai\multidisciplinary\psychology.md,temp_reorg/docs/src/multidisciplinary_ai/psychology.py,fixed,
.\docs\ai\multidisciplinary\README.md,0,./psychology/README.md,markdown,Psychology Module,docs\ai\multidisciplinary\README.md,psychology/README.md,fixed,
.\docs\ai\multidisciplinary\README.md,0,./philosophy/README.md,markdown,Philosophy Module,docs\ai\multidisciplinary\README.md,philosophy/README.md,fixed,
.\docs\ai\multidisciplinary\README.md,0,./sociology/README.md,markdown,Sociology Module,docs\ai\multidisciplinary\README.md,sociology/README.md,fixed,
.\docs\ai\multidisciplinary\README.md,0,./biology/README.md,markdown,Biology Module,docs\ai\multidisciplinary\README.md,biology/README.md,fixed,
.\docs\ai\multidisciplinary\README.md,0,./cosmology/README.md,markdown,Cosmology Module,docs\ai\multidisciplinary\README.md,cosmology/README.md,fixed,
.\docs\ai\multidisciplinary\README.md,0,../../CONTRIBUTING.md,markdown,contributing guidelines,docs\ai\multidisciplinary\README.md,docs/CONTRIBUTING.md,fixed,
.\docs\ai\multidisciplinary\sociology.md,0,../../../../src/multidisciplinary_ai/sociology.py,code,src/multidisciplinary_ai/sociology.py,docs\ai\multidisciplinary\sociology.md,temp_reorg/docs/src/multidisciplinary_ai/sociology.py,fixed,
.\docs\ai\multidisciplinary\sociology.md,0,../ai/guides/multimodal_integration.md,markdown,Social AI Guide,docs\ai\multidisciplinary\sociology.md,temp_reorg/docs/guides/multimodal_integration.md,fixed,
.\docs\ai\vision\multi_category_object_recognition.md,0,../../audio/audio_recognition.md,markdown,Audio Recognition System,docs\ai\vision\multi_category_object_recognition.md,temp_reorg/docs/audio/audio_recognition.md,fixed,
.\docs\ai\vision\multi_category_object_recognition.md,0,../../../iot/sensors.md,markdown,IoT devices,docs\ai\vision\multi_category_object_recognition.md,temp_reorg/docs/iot/sensors.md,fixed,
.\docs\ai\vision\multi_category_object_recognition.md,0,../../../mobile/vision_apps.md,markdown,Mobile applications,docs\ai\vision\multi_category_object_recognition.md,temp_reorg/docs/ai/vision_apps.md,fixed,
.\docs\cad_manufacturing\freecad_automation.md,0,fea_analysis.md,markdown,FEA Analysis,docs\cad_manufacturing\freecad_automation.md,temp_reorg/docs/cad_manufacturing/fea_analysis.md,fixed,
.\docs\cad_manufacturing\materials_database.md,0,fea_analysis.md,markdown,FEA Analysis,docs\cad_manufacturing\materials_database.md,temp_reorg/docs/cad_manufacturing/fea_analysis.md,fixed,
.\docs\cad_manufacturing\materials_database.md,0,../manufacturing/3d_printing_export.md,markdown,Manufacturing Export,docs\cad_manufacturing\materials_database.md,temp_reorg/docs/manufacturing/3d_printing_export.md,fixed,
.\docs\cad_manufacturing\physics_simulation.md,0,fea_analysis.md,markdown,FEA Analysis,docs\cad_manufacturing\physics_simulation.md,temp_reorg/docs/cad_manufacturing/fea_analysis.md,fixed,
.\docs\cad_manufacturing\physics_simulation.md,0,../manufacturing/3d_printing_export.md,markdown,Manufacturing Integration,docs\cad_manufacturing\physics_simulation.md,temp_reorg/docs/manufacturing/3d_printing_export.md,fixed,
.\docs\cad_manufacturing\README.md,0,openscad_automation.md,markdown,OpenSCAD Parametric Design,docs\cad_manufacturing\README.md,temp_reorg/docs/cad_manufacturing/openscad_automation.md,fixed,
.\docs\cad_manufacturing\README.md,0,3d_model_generation.md,markdown,3D Model Generation,docs\cad_manufacturing\README.md,temp_reorg/docs/cad_manufacturing/3d_model_generation.md,fixed,
.\docs\cad_manufacturing\README.md,0,fea_analysis.md,markdown,Finite Element Analysis (FEA),docs\cad_manufacturing\README.md,temp_reorg/docs/cad_manufacturing/fea_analysis.md,fixed,
.\docs\cad_manufacturing\README.md,0,genetic_algorithm_optimization.md,markdown,Genetic Algorithm Optimization,docs\cad_manufacturing\README.md,temp_reorg/docs/cad_manufacturing/genetic_algorithm_optimization.md,fixed,
.\docs\cad_manufacturing\README.md,0,neural_network_predictions.md,markdown,Neural Network Predictions,docs\cad_manufacturing\README.md,temp_reorg/docs/cad_manufacturing/neural_network_predictions.md,fixed,
.\docs\cad_manufacturing\README.md,0,gan_design_generation.md,markdown,GAN-based Design Generation,docs\cad_manufacturing\README.md,temp_reorg/docs/cad_manufacturing/gan_design_generation.md,fixed,
.\docs\cad_manufacturing\README.md,0,3d_printing_export.md,markdown,3D Printing (STL Export),docs\cad_manufacturing\README.md,temp_reorg/docs/manufacturing/3d_printing_export.md,fixed,
.\docs\cad_manufacturing\README.md,0,cnc_machining_export.md,markdown,CNC Machining (GCode),docs\cad_manufacturing\README.md,temp_reorg/docs/cad_manufacturing/cnc_machining_export.md,fixed,
.\docs\cad_manufacturing\README.md,0,iot_manufacturing.md,markdown,IoT & Smart Device Control,docs\cad_manufacturing\README.md,temp_reorg/docs/iot/iot_manufacturing.md,fixed,
.\docs\cad_manufacturing\README.md,0,advanced_physics.md,markdown,Relativity & High-D Simulations,docs\cad_manufacturing\README.md,temp_reorg/docs/cad_manufacturing/advanced_physics.md,fixed,
.\docs\cad_manufacturing\README.md,0,multi_material_design.md,markdown,Multi-Material Design,docs\cad_manufacturing\README.md,temp_reorg/docs/cad_manufacturing/multi_material_design.md,fixed,
.\docs\cad_manufacturing\README.md,0,generative_design.md,markdown,Generative Design,docs\cad_manufacturing\README.md,temp_reorg/docs/cad_manufacturing/generative_design.md,fixed,
.\docs\concepts\knowledge_base_naming_and_identity.md,0,../system_design.md,markdown,System Design Overview,docs\concepts\knowledge_base_naming_and_identity.md,temp_reorg/docs/robotics/system_design.md,fixed,
.\docs\deployment\README.md,0,./platforms/README.md,markdown,Platform-Specific Deployment,docs\deployment\README.md,platforms/README.md,fixed,
.\docs\deployment\README.md,0,./ci_cd/README.md,markdown,CI/CD Pipelines,docs\deployment\README.md,ci_cd/README.md,fixed,
.\docs\deployment\README.md,0,./iac/README.md,markdown,Infrastructure as Code,docs\deployment\README.md,iac/README.md,fixed,
.\docs\deployment\README.md,0,./mlops/README.md,markdown,AI/ML Ops,docs\deployment\README.md,mlops/README.md,fixed,
